Timestamp,Building_ID,Zone_ID,Hour_of_Day,Day_Type,Peak_Hour,Outdoor_Temperature,Outdoor_Humidity,Temperature,Humidity,CO2,Light_Intensity,Occupancy,Appliance_Load,Voltage,Current,Power_Factor,Energy_Consumption,Past_Energy,Energy_Price,Renewable_Energy,Set_Temperature,HVAC_Status,HVAC_Level,Fan_Speed,Predicted_Energy,HVAC_Action,Optimized_Energy,Comfort_Level,Discomfort_Index
2025-01-01 00:00:00,B001,Z1,0,0,0,30.443439789134107,58.946458854895425,23.17356129152529,48.03630878354984,509,216,3,1.6125160716627105,222.3674885590631,11.36616477101278,0.9239209610261669,2.335178367282357,1.9366410696236018,5.443524271685084,34.4889023936437,24,0,0,High,2.7693633535482745,OFF,2.7614992795861655,High,0.08264387084747113
2025-01-01 00:05:00,B001,Z1,0,0,0,28.954339218332713,70.72030114070435,24.531245887135533,59.49323802715472,562,608,7,2.6980444681123057,225.68228905802405,6.870831724312637,0.9033019471324026,1.400682610023281,0.9100402009942085,9.678090724242868,30.13348043256853,24,1,0,Low,2.184104281761563,OFF,1.620201357424875,High,0.05312458871355332
2025-01-01 00:10:00,B001,Z1,0,0,0,26.816518465138667,85.91575127104102,22.17211638810815,74.59773019404881,459,377,2,3.9676637630342517,220.96394977597768,17.720293573103447,0.9127365291228224,3.573861919606045,3.4727478124995774,9.88700149008128,20.647499313233862,24,0,0,High,4.131875917110149,L2,3.519349070501276,High,0.1827883611891849
2025-01-01 00:15:00,B001,Z1,0,0,0,36.26025006962844,57.74506405530043,32.975115221202884,46.71091605725337,461,423,2,2.7902046292684655,235.8837350185222,14.763139954956149,0.9701855497742672,3.3785592110561224,2.9698090469399596,9.85086068767138,12.309113332393,24,1,3,Medium,3.8635945513682266,L1,3.730988258699248,Low,0.8975115221202884
2025-01-01 00:20:00,B001,Z1,0,0,0,32.39647643820812,76.23234009039933,28.748180621010768,65.02441679730329,511,240,5,3.627090259985311,222.56609067432134,10.829631925999022,0.9363853805119557,2.25697796142909,2.059567135032689,6.931233019737801,32.432291866748976,24,1,2,High,2.8064327453089097,L2,2.6640546445923636,Medium,0.4748180621010768
2025-01-01 00:25:00,B001,Z1,0,0,0,30.91969041621645,69.27986710771593,26.396142441226374,62.1289564063062,632,421,6,1.7226309880303425,213.77970787587904,6.627144421460668,0.946688135430377,1.3412194677354812,1.016097662487882,9.83899658929791,27.222502960537057,24,1,1,High,1.7881855222769931,OFF,1.088613775920739,Medium,0.23961424412263738
2025-01-01 00:30:00,B001,Z1,0,0,0,25.744329459362064,54.91387488593988,19.631965070116173,49.784117542582095,604,455,6,3.570872059042603,221.42126979452956,18.709909462421855,0.8544226351125273,3.5396780927899942,3.0914542935971503,6.798244200506474,16.13505626983469,24,0,0,Medium,4.067409470003291,L1,3.2841799642815896,Low,0.43680349298838267
2025-01-01 00:35:00,B001,Z1,0,0,0,24.20884098241808,30.0,19.014811971864418,30.0,522,240,5,2.2824466686810077,227.67943405976547,18.034829327458596,0.8709603117732733,3.576302162673119,3.3823836580337767,6.434942210691592,20.336288928354783,24,0,0,Low,4.203028509948519,L2,3.2960468577357704,Low,0.4985188028135582
2025-01-01 00:40:00,B001,Z1,0,0,0,29.69691735788778,55.083613918057075,25.03056256566455,44.288562818566206,619,341,7,2.5889192173045212,230.86927879794496,14.426621397252493,0.8946707615016731,2.9798474086322386,2.710332085159549,7.268009356023622,38.47556745779514,24,1,0,Medium,3.567691352790285,L3,3.0673237999925256,High,0.10305625656645497
2025-01-01 00:45:00,B001,Z1,0,0,0,35.0653846985811,60.22569757539158,31.691981523593945,48.133467967006,516,671,4,3.90092547722721,235.34469870132426,10.08917040639821,0.8523338501601798,2.0238094243233826,1.8813518975690964,6.648098658651232,13.079067170517598,24,1,3,Low,2.7817753415270907,L2,2.2678557494167824,Low,0.7691981523593945
